Fact_Budgets_PK,Season,Season_FK,Flowtype,Budget_sub_category,Fundig_Source,Budget_date,Budget_date_FK,Amount,Scouts_origin,Participants_Camp_by_season,Duration_Days_Camp_by_season,scd_start,scd_end,scd_version,scd_active
164,2024-2025,2,Cash,Medias,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,29,0
165,2024-2025,2,Cash,Insurance And Treatment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,30,0
166,2024-2025,2,Cash,Salaries,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,31,0
167,2024-2025,2,Cash,Educational Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,32,0
168,2024-2025,2,Cash,Trips,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,33,0
169,2024-2025,2,Cash,Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,34,0
170,2024-2025,2,Cash,Transport,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,35,0
171,2024-2025,2,Cash,Food,Expenditure,21-08-2024,20240821,7350,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,36,0
172,2024-2025,2,Cash,Different,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,37,0
173,2024-2025,2,Cash,Medias,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,38,0
174,2024-2025,2,Cash,Insurance And Treatment,Expenditure,21-08-2024,20240821,25000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,39,0
175,2024-2025,2,Cash,Salaries,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,40,0
176,2024-2025,2,Cash,Educational Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,41,0
177,2024-2025,2,Cash,Trips,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,42,0
178,2024-2025,2,Cash,Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,43,0
179,2024-2025,2,Cash,Transport,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,44,0
180,2024-2025,2,Cash,Food,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,45,0
181,2024-2025,2,Cash,Different,Expenditure,21-08-2024,20240821,180000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,46,0
182,2024-2025,2,Cash,Medias,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,47,0
183,2024-2025,2,Cash,Insurance And Treatment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,48,0
184,2024-2025,2,Cash,Salaries,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,49,0
185,2024-2025,2,Cash,Educational Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,50,0
186,2024-2025,2,Cash,Trips,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,51,0
187,2024-2025,2,Cash,Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,52,0
188,2024-2025,2,Cash,Transport,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,53,0
189,2024-2025,2,Cash,Food,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,NULL,54,1
190,2024-2025,2,Cash,Different,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
191,2024-2025,2,Cash,Medias,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
192,2024-2025,2,Cash,Insurance And Treatment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
193,2024-2025,2,Cash,Salaries,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
194,2024-2025,2,Cash,Educational Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
195,2024-2025,2,Cash,Trips,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
196,2024-2025,2,Cash,Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
197,2024-2025,2,Cash,Transport,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
198,2024-2025,2,Cash,Food,Expenditure,22-08-2024,20240822,55600,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,9,0
199,2024-2025,2,Cash,Different,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,10,0
200,2024-2025,2,Cash,Medias,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,11,0
201,2024-2025,2,Cash,Insurance And Treatment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,12,0
202,2024-2025,2,Cash,Salaries,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,13,0
203,2024-2025,2,Cash,Educational Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,14,0
204,2024-2025,2,Cash,Trips,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,15,0
205,2024-2025,2,Cash,Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,16,0
206,2024-2025,2,Cash,Transport,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,17,0
207,2024-2025,2,Cash,Food,Expenditure,22-08-2024,20240822,48530,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,18,0
208,2024-2025,2,Cash,Different,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,19,0
209,2024-2025,2,Cash,Medias,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,20,0
210,2024-2025,2,Cash,Insurance And Treatment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,21,0
211,2024-2025,2,Cash,Salaries,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,22,0
212,2024-2025,2,Cash,Educational Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,23,0
213,2024-2025,2,Cash,Trips,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,24,0
214,2024-2025,2,Cash,Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,25,0
215,2024-2025,2,Cash,Transport,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,26,0
216,2024-2025,2,Cash,Food,Expenditure,22-08-2024,20240822,2000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,27,0
217,2024-2025,2,Cash,Different,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,28,0
218,2024-2025,2,Cash,Medias,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,29,0
219,2024-2025,2,Cash,Insurance And Treatment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,30,0
220,2024-2025,2,Cash,Salaries,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,31,0
221,2024-2025,2,Cash,Educational Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,32,0
222,2024-2025,2,Cash,Trips,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,33,0
223,2024-2025,2,Cash,Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,34,0
224,2024-2025,2,Cash,Transport,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,35,0
225,2024-2025,2,Cash,Food,Expenditure,22-08-2024,20240822,1960,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,36,0
226,2024-2025,2,Cash,Different,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,37,0
227,2024-2025,2,Cash,Medias,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,38,0
228,2024-2025,2,Cash,Insurance And Treatment,Expenditure,22-08-2024,20240822,5490,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,39,0
229,2024-2025,2,Cash,Salaries,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,40,0
230,2024-2025,2,Cash,Educational Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,41,0
231,2024-2025,2,Cash,Trips,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,42,0
232,2024-2025,2,Cash,Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,43,0
233,2024-2025,2,Cash,Transport,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,44,0
234,2024-2025,2,Cash,Food,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,45,0
235,2024-2025,2,Cash,Different,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,46,0
236,2024-2025,2,Cash,Medias,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,47,0
237,2024-2025,2,Cash,Insurance And Treatment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,48,0
238,2024-2025,2,Cash,Salaries,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,49,0
239,2024-2025,2,Cash,Educational Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,50,0
240,2024-2025,2,Cash,Trips,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,51,0
241,2024-2025,2,Cash,Equipment,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,52,0
242,2024-2025,2,Cash,Transport,Expenditure,22-08-2024,20240822,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,53,0
243,2024-2025,2,Cash,Food,Expenditure,22-08-2024,20240822,46600,Grombalia,205,23,2026-04-06 05:00:23.660,NULL,54,1
244,2024-2025,2,Cash,Different,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
245,2024-2025,2,Cash,Medias,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
246,2024-2025,2,Cash,Insurance And Treatment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
247,2024-2025,2,Cash,Salaries,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
248,2024-2025,2,Cash,Educational Equipment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
249,2024-2025,2,Cash,Trips,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
250,2024-2025,2,Cash,Equipment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
251,2024-2025,2,Cash,Transport,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
252,2024-2025,2,Cash,Food,Expenditure,23-08-2024,20240823,70515,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,9,0
253,2024-2025,2,Cash,Different,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,10,0
254,2024-2025,2,Cash,Medias,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,11,0
255,2024-2025,2,Cash,Insurance And Treatment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,12,0
256,2024-2025,2,Cash,Salaries,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,13,0
257,2024-2025,2,Cash,Educational Equipment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,14,0
258,2024-2025,2,Cash,Trips,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,15,0
259,2024-2025,2,Cash,Equipment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,16,0
260,2024-2025,2,Cash,Transport,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,17,0
261,2024-2025,2,Cash,Food,Expenditure,23-08-2024,20240823,8950,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,18,0
262,2024-2025,2,Cash,Different,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,19,0
263,2024-2025,2,Cash,Medias,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,20,0
264,2024-2025,2,Cash,Insurance And Treatment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,21,0
265,2024-2025,2,Cash,Salaries,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,22,0
266,2024-2025,2,Cash,Educational Equipment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,23,0
267,2024-2025,2,Cash,Trips,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,24,0
268,2024-2025,2,Cash,Equipment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,25,0
269,2024-2025,2,Cash,Transport,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,26,0
270,2024-2025,2,Cash,Food,Expenditure,23-08-2024,20240823,36450,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,27,0
271,2024-2025,2,Cash,Different,Expenditure,23-08-2024,20240823,146000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,28,0
272,2024-2025,2,Cash,Medias,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,29,0
273,2024-2025,2,Cash,Insurance And Treatment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,30,0
274,2024-2025,2,Cash,Salaries,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,31,0
275,2024-2025,2,Cash,Educational Equipment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,32,0
276,2024-2025,2,Cash,Trips,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,33,0
277,2024-2025,2,Cash,Equipment,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,34,0
278,2024-2025,2,Cash,Transport,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,35,0
279,2024-2025,2,Cash,Food,Expenditure,23-08-2024,20240823,0,Grombalia,205,23,2026-04-06 05:00:23.660,NULL,36,1
280,2024-2025,2,Cash,Different,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
281,2024-2025,2,Cash,Medias,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
282,2024-2025,2,Cash,Insurance And Treatment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
283,2024-2025,2,Cash,Salaries,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
284,2024-2025,2,Cash,Educational Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
285,2024-2025,2,Cash,Trips,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
286,2024-2025,2,Cash,Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
287,2024-2025,2,Cash,Transport,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
288,2024-2025,2,Cash,Food,Expenditure,24-08-2024,20240824,3400,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,9,0
289,2024-2025,2,Cash,Different,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,10,0
290,2024-2025,2,Cash,Medias,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,11,0
291,2024-2025,2,Cash,Insurance And Treatment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,12,0
292,2024-2025,2,Cash,Salaries,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,13,0
293,2024-2025,2,Cash,Educational Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,14,0
294,2024-2025,2,Cash,Trips,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,15,0
295,2024-2025,2,Cash,Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,16,0
296,2024-2025,2,Cash,Transport,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,17,0
297,2024-2025,2,Cash,Food,Expenditure,24-08-2024,20240824,2200,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,18,0
298,2024-2025,2,Cash,Different,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,19,0
299,2024-2025,2,Cash,Medias,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,20,0
300,2024-2025,2,Cash,Insurance And Treatment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,21,0
301,2024-2025,2,Cash,Salaries,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,22,0
302,2024-2025,2,Cash,Educational Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,23,0
303,2024-2025,2,Cash,Trips,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,24,0
304,2024-2025,2,Cash,Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,25,0
305,2024-2025,2,Cash,Transport,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,26,0
306,2024-2025,2,Cash,Food,Expenditure,24-08-2024,20240824,42300,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,27,0
307,2024-2025,2,Cash,Different,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,28,0
308,2024-2025,2,Cash,Medias,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,29,0
309,2024-2025,2,Cash,Insurance And Treatment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,30,0
310,2024-2025,2,Cash,Salaries,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,31,0
311,2024-2025,2,Cash,Educational Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,32,0
312,2024-2025,2,Cash,Trips,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,33,0
313,2024-2025,2,Cash,Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,34,0
314,2024-2025,2,Cash,Transport,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,35,0
315,2024-2025,2,Cash,Food,Expenditure,24-08-2024,20240824,83531,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,36,0
316,2024-2025,2,Cash,Different,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,37,0
317,2024-2025,2,Cash,Medias,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,38,0
318,2024-2025,2,Cash,Insurance And Treatment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,39,0
319,2024-2025,2,Cash,Salaries,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,40,0
320,2024-2025,2,Cash,Educational Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,41,0
321,2024-2025,2,Cash,Trips,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,42,0
322,2024-2025,2,Cash,Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,43,0
323,2024-2025,2,Cash,Transport,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,44,0
324,2024-2025,2,Cash,Food,Expenditure,24-08-2024,20240824,10700,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,45,0
325,2024-2025,2,Cash,Different,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,46,0
326,2024-2025,2,Cash,Medias,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,47,0
327,2024-2025,2,Cash,Insurance And Treatment,Expenditure,24-08-2024,20240824,41310,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,48,0
328,2024-2025,2,Cash,Salaries,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,49,0
329,2024-2025,2,Cash,Educational Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,50,0
330,2024-2025,2,Cash,Trips,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,51,0
331,2024-2025,2,Cash,Equipment,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,52,0
332,2024-2025,2,Cash,Transport,Expenditure,24-08-2024,20240824,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,53,0
