Fact_Budgets_PK,Season,Season_FK,Flowtype,Budget_sub_category,Fundig_Source,Budget_date,Budget_date_FK,Amount,Scouts_origin,Participants_Camp_by_season,Duration_Days_Camp_by_season,scd_start,scd_end,scd_version,scd_active
50,2024-2025,2,Cash,Educational Equipment,Expenditure,14-08-2024,20240814,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
51,2024-2025,2,Cash,Trips,Expenditure,14-08-2024,20240814,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
52,2024-2025,2,Cash,Equipment,Expenditure,14-08-2024,20240814,144000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
53,2024-2025,2,Cash,Transport,Expenditure,14-08-2024,20240814,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
54,2024-2025,2,Cash,Food,Expenditure,14-08-2024,20240814,0,Grombalia,205,23,2026-04-06 05:00:23.660,NULL,9,1
55,2024-2025,2,Cheque,Different,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,19,0
56,2024-2025,2,Cheque,Medias,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,20,0
57,2024-2025,2,Cheque,Insurance And Treatment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,21,0
58,2024-2025,2,Cheque,Salaries,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,22,0
59,2024-2025,2,Cheque,Educational Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,23,0
60,2024-2025,2,Cheque,Trips,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,24,0
61,2024-2025,2,Cheque,Equipment,Expenditure,19-08-2024,20240819,77000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,25,0
62,2024-2025,2,Cheque,Transport,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,26,0
63,2024-2025,2,Cheque,Food,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,27,0
64,2024-2025,2,Cash,Different,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,28,0
65,2024-2025,2,Cash,Medias,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,29,0
66,2024-2025,2,Cash,Insurance And Treatment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,30,0
67,2024-2025,2,Cash,Salaries,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,31,0
68,2024-2025,2,Cash,Educational Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,32,0
69,2024-2025,2,Cash,Trips,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,33,0
70,2024-2025,2,Cash,Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,34,0
